Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Fwd Header Length,Bwd Header Length,Packet Length Mean,Average Packet Size,Label
53,0.003972196326809498,1,0,108.0,0.0,160,56.0,108.0,0.0,0.0,0.0,27188.98843722222,251.74989293724275,0.003972196326809498,0.0022047148950701573,20,0,108.0,118.80000000000001,BENIGN
572,0.001055367880034259,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,947.5368910862991,0.001055367880034259,0.001055367880034259,20,0,0.0,0.0,PortScan
443,1.1697492284332194,23,23,12316.5,13903.5,1071,0.0,535.5,1169.0,40.0,604.5,22415.060734957256,39.32466795606536,0.025429331052896072,0.9863929093896067,460,460,570.0,627.0,BENIGN
21,1.8130783743723395,27,12,864.0,192.0,64,0.0,32.0,32.0,0.0,16.0,582.4348328932947,21.510377351172817,0.04648918908647025,0.757219768783463,540,240,27.076923076923077,27.076923076923077,FTP-Patator
80,59.947280805092255,4471,1,1541996.7182801191,0.0,806,330.0,344.888552511769,0.0,0.0,0.0,25722.546503712863,74.59887988147284,0.013405027013661058,0.47981893020930466,89420,20,344.8114307424238,344.8114307424238,DoS Hulk
3306,0.8584994247334139,20,4,8730.0,2274.0,873,0.0,436.5,1083.0,54.0,568.5,12817.71388887887,27.95575548283287,0.03577080936389224,0.5392244835396298,400,80,458.5,504.35,BENIGN
80,3.1476824275789426,35,31,23800.0,9656.5,1320,40.0,680.0,583.0,40.0,311.5,10628.931212013422,20.96780775014977,0.047692157993620345,2.2445242715121396,700,620,506.9166666666667,557.6083333333333,BENIGN
80,0.022313558189845473,1,1,159.5,124.0,252,67.0,159.5,207.0,41.0,124.0,12705.2797939244,89.63160348447548,0.011156779094922737,0.01348222456737985,20,20,141.75,155.925,BENIGN
53,0.03400605590158989,1,1,100.5,86.0,157,44.0,100.5,103.0,69.0,86.0,5484.317279831341,58.81305393921009,0.017003027950794947,0.018395779063020083,20,20,93.25,102.575,BENIGN
80,52.769210169294716,706,2,249872.26797939747,0.0,1144,366.0,353.92672518328254,0.0,0.0,0.0,4735.190600309436,13.416914858656918,0.07453278272499253,0.42938640222729807,14120,40,352.9269321742902,352.9269321742902,DoS Hulk
